EventID,Describe,EventType,EventOpt1,EventOpt2,EventOpt3,DescOpt1,DescOpt2,DescOpt3,HunterAI,TradeAI,TriggerDist,NextEvent,TaskItem,Trigger,Spoils
1,救救我···我快饿死了，你给我点吃的吧。我可以用我的宝贝和你换。,Key,Skip,,,抱歉，我爱莫能助,,,(1|100),(1|1|1|1|1|100),5,-1,,1,0
2,你遇到了一具高度腐烂的尸体，看样子是因为瘟疫而死的,Side,Skip,,,给予他最后的尊重吧,,,(1|100),(1|1|1|1|1|100),0,3,,,0
3,前面你遇到了一个小孩，看小孩的背包满满的，应该是装满了物资吧。,Side,Trade,Skip,,孩子，给我看看你的东西,孩子这里并不安全，快离开,,(1|100),(11|11|12|12|6|100),0,4,,,0
4,前面地上散落的物品，这不是你刚才给孩子的糖吗？,Side,Trade,,,孩子怎么把东西丢下来了？,,,(1|100),(13|13|14|14|1|100),0,5,,,1
5,我有好东西想和你交易？你有兴趣吗？,Side,Trade,Fight,,你身上有什么好东西吗？,我要亲手终结你的罪恶！,,(1|100),(1|1|1|1|1|100),0,6,Jieyao1|1,,0
6,村长，我想你手里有我感兴趣的东西，我这里也有你喜欢的东西,Side,Trade,,,我想和你们村长做一些交易,,,(1|100),(1|1|6|6|1|100),0,7,,,0
7,好像···刚才的村子，有些不对劲？算了，不去想了。,Side,Skip,,,继续前进,,,(1|100),(5|5|10|10|5|100),0,-1,Jieyao1|-1,,0
8,你听说了吗？外面的瘟疫马上就要来到村子了。昨天已经见到了一个感染的人。,Key,Next,,,是的,,,(1|100),(1|1|1|1|1|100),1,9,,2,0
9,村子中的人已经走的七七八八了。这里也不安全了。,Side,Next,,,难道就没有办法了吗？,,,(1|100),(1|1|1|1|1|100),0,10,,3,0
10,曾经村子也爆发过一场瘟疫，就像今天一样,Side,Next,,,当时怎么做的？,,,(1|100),(1|1|1|1|1|100),0,11,,4,0
11,后来，丛林中来了一个神的使者，他送来了圣水，治好了村民。又回到了丛林。,Side,Next,,,这个人是谁？,,,(1|100),(1|1|1|1|1|100),0,12,,5,0
12,大家称他为丛林之王。今天也只有丛林之王能拯救我们。你能帮我们找到他吗？,Side,Skip,,,我这就出发,,,(1|100),(1|1|1|1|1|100),0,13,,6,0
13,前方是一个破旧的村子，整个村子死气沉沉的。,Side,Next,,,走进去看看,,,(1|100),(1|5|6|10|5|100),0,14,,,0
14,你遇到了这个村子的村长，村长很颓废,Side,Next,,,这里怎么了？,,,(1|100),(1|5|6|10|5|100),0,15,,,0
